id,english,kinyarwanda,example_en,example_rw,etymology,category,contributed_by,source,date_added,created_at
29,Prevalence,Ubwiganze,The study aims to determine the prevalence of depression among NCD patients.,Ubushakashatsi bugamije kumenya ubwiganze bw'agahinda gakabije mu barwayi b'indwara zitandura.,From 'kwiganza' meaning 'to spread/be widespread.' 'Ubwiganze' is an abstract noun formed by the ubu- prefix.,Research Methodology,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.289758,2026-04-02T21:37:11.289760
19,Primary care,Serivizi z'ubuvuzi rusange z'ibanze,Mental health services should be integrated into primary care.,Serivisi zita ku buzima bwo mu mutwe zigomba kongerwa muri serivizi z'ubuvuzi rusange z'ibanze.,'Serivizi' is borrowed from French 'services.' 'Ubuvuzi rusange' means general medical care. 'Z'ibanze' means 'of the first/basic level.',Health Systems,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.266824,2026-04-02T21:37:11.266826
33,Principal Investigator,Uhagarariye ubushakashatsi,The principal investigator oversees all aspects of the research project.,Uhagarariye ubushakashatsi ni we ushinzwe impande zose z'ubushakashatsi.,'Uhagarariye' means 'the one who represents/leads.' Kinyarwanda expresses titles through function.,Research Methodology,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.296054,2026-04-02T21:37:11.296057
16,Psychosocial support,Ubufasha nturishamutima,Participants who experience distress will be referred for psychosocial support.,Abagize uruhare bahuye n'ibibazo bazashyirwa ku bufasha nturishamutima.,'Ubufasha' means help/assistance. 'Nturishamutima' is a compound: nturisha (to console/comfort) + umutima (heart). Literally 'help that consoles the heart.',Mental Health,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.262934,2026-04-02T21:37:11.262936
36,Questionnaire,Ifishi y'ibibazo nkusanyamakuru,The questionnaire contains closed-ended questions about mental health.,Ifishi y'ibibazo nkusanyamakuru irimo ibibazo ntangamahitamo y'ibisubizo.,'Ifishi' borrowed from French 'fiche' (form/sheet). 'Nkusanyamakuru' = for gathering information.,Research Methodology,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.300531,2026-04-02T21:37:11.300533
30,Risk factor,Impamvu nyongerabukana,Poverty is a significant risk factor for mental health disorders.,Ubukene ni impamvu nyongerabukana ikomeye y'indwara zo mu mutwe.,'Impamvu' means reason/cause. 'Nyongerabukana' compounds nyongera (to increase) + ubukana (probability).,Research Methodology,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.291019,2026-04-02T21:37:11.291021
44,Signature,Umukono,Your signature indicates your consent to participate.,Umukono wawe urerekana ko wemeye kugira uruhare.,'Umukono' literally means 'hand.' This metonymy — where the hand stands for the mark it makes — is ancient in Kinyarwanda.,Research Ethics,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.322296,2026-04-02T21:37:11.322298
84,Silicosis,Kanigabihaha,,,"'Kaniga' from 'kuniga' (to stifle). 'Ibihaha' = lungs. Literally: makes your lungs stiff, making it harder and harder to breathe.",Pulmonology / Occupational Health,Christophe Mumaragishyika,Search log demand (Apr 2026),2026-04-19T06:16:14.569327,2026-04-19T06:16:14.569329
88,Standardized Patient,Umurwayi mfashamibarize,The medical school recruits children to serve as standardized patients during examinations.,Kaminuza y'ubuvuzi ihamagara abana kugira ngo bagire uruhare mu isuzumabumenyi ry'abanyeshuri nk'abarwayi mfashamibarize.,Neologism compound: 'mfasha' (help) + 'mibarize' (assessment/examination). Captures the role of helping with clinical assessment by acting as a patient.,Medical Education,Christophe Mumaragishyika,"SP/PEDS letter (Khris translation, 2025)",2026-04-19T06:16:14.578626,2026-04-19T06:16:14.578628
31,Study population,Itsinda nkorerwahobushakashatsi,The study population includes patients aged 18 and above.,Itsinda nkorerwahobushakashatsi rigizwe n'abarwayi bafite byibuze imyaka 18.,'Itsinda' means group. 'Nkorerwahobushakashatsi' = nkorerwa (for whom it is done) + ho (there) + ubushakashatsi (research).,Research Methodology,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.292212,2026-04-02T21:37:11.292214
62,Sugary foods,Ibiryo by'ibinyamasukari,"One has to abstain from excess sugary foods, for instance: cookies, juices.","Umuntu agomba kwirinda ibiryo by'ibinyamasukari byinshi, urugero: ama biscuits, ama jus.",'Ibiryo' = foods. 'By'ibinyamasukari' = of sugary things. 'Ibinyamasukari' compounds ibintu (things) + ama (of) + sukari (sugar).,Nutrition,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.348231,2026-04-02T21:37:11.348233
35,Supervisor,Umugenzuzi,The research supervisor reviewed all collected data.,Umugenzuzi w'ubushakashatsi yasuzumye amakuru yose yakusanyijwe.,From 'kugenzura' meaning 'to inspect/oversee/supervise.' A well-established agent noun.,Research Methodology,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.298326,2026-04-02T21:37:11.298328
99,Surgery,Kubaga abarwayi,She wants to specialize in Surgery.,Arifuza kuba inzobere mu byo kubaga abarwayi.,,Surgical,Christophe Mumaragishyika,Search log demand (Apr 2026),2026-04-19T06:16:14.613248,2026-04-19T06:16:14.613251
83,Swelling,Kubyimba / Kubyimbagatana,,,,Symptoms,Christophe Mumaragishyika,Search log demand (Apr 2026),2026-04-19T06:16:14.566389,2026-04-19T06:16:14.566391
59,To fight/combat a disease,Guhashya indwara,What are the challenges you face in implementing strategies to fight diabetes type II?,Imbogamizi uhura nazo mu gushyira mu bikorwa ingamba zo guhashya indwara ya gisukari yo mu bwoko bwa kabiri nizihe?,'Guhashya' = to fight against / to combat. A strong verb conveying active resistance against disease.,Public Health,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.344362,2026-04-02T21:37:11.344364
61,To monitor a disease,Kugenzura indwara,Which adequate means should be used in monitoring diabetes?,Ni ubuhe buryo buboneye bwifashishwa mu kugenzura indwara ya gisukari?,'Kugenzura' = to inspect / oversee / monitor. Extends the supervisory concept into the disease monitoring context.,Clinical Practice,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.347038,2026-04-02T21:37:11.347040
72,To seek medical treatment,Kwivuza,And also about seeking medical treatment.,Nibijyanye no kwivuza urebye.,Reflexive of 'kuvuza' (to treat/heal). 'Kwivuza' = to seek treatment for oneself. The reflexive marks patient agency.,Clinical Practice,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.360997,2026-04-02T21:37:11.360999
58,To test blood sugar,Gupima isukari mu maraso,Have you ever tried to measure your blood sugar at home?,Utajya ugerageza gupima murugo igipimo cy'isukari?,'Gupima' = to measure/test. Used for both self-monitoring at home and clinical testing at health facilities.,Clinical Practice,Christophe Mumaragishyika,Diabetes Type II IDI transcripts (2020),2026-04-02T21:37:11.342935,2026-04-02T21:37:11.342937
95,To Whom It May Concern,Ku bo bireba,"To Whom It May Concern, We kindly request your permission...","Ku bo bireba, Tubandikiye tubasaba uburenganzira...",'Ku bo' = to those. 'Bireba' = whom it concerns. Standard formal Kinyarwanda letter opening.,Administrative / Letter Writing,Christophe Mumaragishyika,"SP/PEDS letter (Khris translation, 2025)",2026-04-19T06:16:14.598671,2026-04-19T06:16:14.598674
49,To withdraw from a study,Guhagarika uruhare,You may withdraw from the study at any time without penalty.,Ushobora guhagarika uruhare rwawe igihe icyo ari cyo cyose nta nkurikizi.,'Guhagarika' = to stop/cease. 'Uruhare' = role/part. Active voice emphasizes participant agency.,Research Ethics,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.331646,2026-04-02T21:37:11.331648
18,Treatment adherence,Myitwarire nyubahirizamiti ikwiye,Depression negatively impacts treatment adherence among NCD patients.,Agahinda gakabije bigira ingaruka ku myitwarire nyubahirizamiti ikwiye mu barwayi b'indwara zitandura.,'Myitwarire' means behavior/conduct. 'Nyubahirizamiti' compounds nyubahiriza (to properly respect/follow) + imiti (medication).,Clinical Practice,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.265732,2026-04-02T21:37:11.265734
9,Tuberculosis,Igituntu,Tuberculosis treatment requires a complete course of antibiotics.,Kuvura igituntu bisaba gufata imiti yose nk'uko byateganyijwe.,"The established Kinyarwanda term, universally recognized across clinical settings in Rwanda.",Infectious Disease,Christophe Mumaragishyika,Original starter terms,2026-04-02T21:37:11.254380,2026-04-02T21:37:11.254382
53,University of Global Health Equity (UGHE),Kaminuza iharanira uburinganire mu isigasirabuzima ku isi,The study was conducted under the auspices of UGHE.,Ubushakashatsi bwakorerwe mu rwego rwa kaminuza iharanira uburinganire mu isigasirabuzima ku isi.,"'Kaminuza' (university, from French). 'Iharanira' = that strives for. 'Uburinganire' = equality/equity. Every word is translated semantically.",Institutional,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.336786,2026-04-02T21:37:11.336798
4,Vaccination,Ikingira,Vaccination is essential for preventing childhood diseases.,Ikingira ni ngombwa mu gukinga indwara z'abana.,From 'gukingira' meaning 'to protect' — literally 'the protection.' The word captures the preventive essence of vaccination.,Public Health,Christophe Mumaragishyika,Original starter terms,2026-04-02T21:37:11.243090,2026-04-02T21:37:11.243092
42,Voluntary participation,Kwitabira ku bushake busesuye,Participation in this study is entirely voluntary.,Kwitabira ubu bushakashatsi ni ku bushake busesuye.,'Kwitabira' = to participate. 'Ku bushake' = by willingness. 'Busesuye' = complete/full.,Research Ethics,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.318925,2026-04-02T21:37:11.318927
93,Well-being (child's),Ubuzima bwite bw'umwana,This opportunity will be respectful of the child's well-being.,Uyu mukoro uba wubahiriza ubuzima bwite bw'umwana.,'Ubuzima' = health/life. 'Bwite' = personal/private/own. 'Bw'umwana' = of the child. Together: the personal health of the child.,Pediatrics / General,Christophe Mumaragishyika,"SP/PEDS letter (Khris translation, 2025)",2026-04-19T06:16:14.592709,2026-04-19T06:16:14.592711
43,Witness,Umutangabuhamya,A witness must sign the consent form alongside the participant.,Umutangabuhamya agomba gushyira umukono ku nyandikomvugo ntangaburenganzira.,'Umutangabuhamya' = u-mu-tanga (one who gives) + ubuhamya (testimony).,Research Ethics,Christophe Mumaragishyika,Annie Chibwe consent form,2026-04-02T21:37:11.320749,2026-04-02T21:37:11.320751
